time;eth_supply
15/02/2017;88874141,75
16/02/2017;88905626,75
17/02/2017;88936899,87
18/02/2017;88968058
19/02/2017;88999274,25
20/02/2017;89030605,5
21/02/2017;89061966,12
22/02/2017;89092909,87
23/02/2017;89124089,87
24/02/2017;89155301,12
25/02/2017;89186796,12
26/02/2017;89218556,75
27/02/2017;89249746,75
28/02/2017;89281545,5
01/03/2017;89312631,12
02/03/2017;89344201,75
03/03/2017;89375448
04/03/2017;89406565,5
05/03/2017;89438074,25
06/03/2017;89469171,12
07/03/2017;89500187,37
08/03/2017;89531458,62
09/03/2017;89562216,75
10/03/2017;89593188,62
11/03/2017;89624369,87
12/03/2017;89655163,62
13/03/2017;89686713,62
14/03/2017;89717866,12
15/03/2017;89749176,12
16/03/2017;89780541,75
17/03/2017;89812311,75
18/03/2017;89843726,12
19/03/2017;89874666,12
20/03/2017;89906278
21/03/2017;89937237,37
22/03/2017;89968553
23/03/2017;89999470,5
24/03/2017;90030254,25
25/03/2017;90061261,75
26/03/2017;90092378,62
27/03/2017;90123329,25
28/03/2017;90153838,62
29/03/2017;90185049,25
30/03/2017;90215813,62
31/03/2017;90246963
01/04/2017;90277760,5
02/04/2017;90308148,62
03/04/2017;90339278,62
04/04/2017;90370273,62
05/04/2017;90401452,37
06/04/2017;90432119,87
07/04/2017;90463136,12
08/04/2017;90493997,37
09/04/2017;90524186,12
10/04/2017;90554169,87
11/04/2017;90584568,62
12/04/2017;90614725,5
13/04/2017;90645009,87
14/04/2017;90675936,75
15/04/2017;90705874,25
16/04/2017;90736316,75
17/04/2017;90766906,12
18/04/2017;90797372,37
19/04/2017;90826939,25
20/04/2017;90857312,37
21/04/2017;90887742,37
22/04/2017;90917688
23/04/2017;90948128
24/04/2017;90977859,87
25/04/2017;91008564,87
26/04/2017;91037847,37
27/04/2017;91067128,62
28/04/2017;91096758
29/04/2017;91125928,62
30/04/2017;91155248,62
01/05/2017;91184553
02/05/2017;91213931,12
03/05/2017;91243427,37
04/05/2017;91272799,87
05/05/2017;91302444,25
06/05/2017;91332091,12
07/05/2017;91361915,5
08/05/2017;91391288,62
09/05/2017;91420984,25
10/05/2017;91450540,5
11/05/2017;91480223
12/05/2017;91510051,12
13/05/2017;91539248,62
14/05/2017;91567413,62
15/05/2017;91595813
16/05/2017;91624469,87
17/05/2017;91652315,5
18/05/2017;91680746,12
19/05/2017;91709073,62
20/05/2017;91737674,25
21/05/2017;91766265,5
22/05/2017;91794974,25
23/05/2017;91823487,37
24/05/2017;91852064,87
25/05/2017;91880839,25
26/05/2017;91909738,62
27/05/2017;91938446,75
28/05/2017;91967203
29/05/2017;91996670,5
30/05/2017;92026408
31/05/2017;92055084,87
01/06/2017;92083082,37
02/06/2017;92109844,87
03/06/2017;92137308
04/06/2017;92164479,87
05/06/2017;92192205,5
06/06/2017;92219628,62
07/06/2017;92247333
08/06/2017;92274896,75
09/06/2017;92302480,5
10/06/2017;92330576,75
11/06/2017;92358433
12/06/2017;92386454,25
13/06/2017;92414649,87
14/06/2017;92442843,62
15/06/2017;92470971,75
16/06/2017;92499272,37
17/06/2017;92527492,37
18/06/2017;92556003,62
19/06/2017;92584554,87
20/06/2017;92611182,37
21/06/2017;92637266,75
22/06/2017;92663725,5
23/06/2017;92689759,87
24/06/2017;92716180,5
25/06/2017;92742491,75
26/06/2017;92769113
27/06/2017;92795630,5
28/06/2017;92822193,62
29/06/2017;92849128
30/06/2017;92875914,87
01/07/2017;92902526,75
02/07/2017;92929178,62
03/07/2017;92956233
04/07/2017;92983517,37
05/07/2017;93010201,12
06/07/2017;93037057,37
07/07/2017;93064267,37
08/07/2017;93091263
09/07/2017;93118144,87
10/07/2017;93142518
11/07/2017;93166429,25
12/07/2017;93190306,12
13/07/2017;93214031,12
14/07/2017;93237750,5
15/07/2017;93261851,75
16/07/2017;93285814,25
17/07/2017;93309281,75
18/07/2017;93333186,12
19/07/2017;93357615,5
20/07/2017;93382052,37
21/07/2017;93405847,37
22/07/2017;93430110,5
23/07/2017;93454544,87
24/07/2017;93478556,75
25/07/2017;93503197,37
26/07/2017;93527656,75
27/07/2017;93551964,25
28/07/2017;93576589,87
29/07/2017;93601038
30/07/2017;93625706,12
31/07/2017;93649708
01/08/2017;93671084,25
02/08/2017;93692185,5
03/08/2017;93713104,87
04/08/2017;93734363,62
05/08/2017;93755513
06/08/2017;93776733
07/08/2017;93798308
08/08/2017;93819895,5
09/08/2017;93841573
10/08/2017;93862988
11/08/2017;93884834,87
12/08/2017;93906698,62
13/08/2017;93928682,37
14/08/2017;93950666,75
15/08/2017;93972826,12
16/08/2017;93995327,37
17/08/2017;94017789,25
18/08/2017;94040036,12
19/08/2017;94062541,12
20/08/2017;94084620,5
21/08/2017;94107303,62
22/08/2017;94129759,25
23/08/2017;94152311,12
24/08/2017;94174775,5
25/08/2017;94193557,37
26/08/2017;94212078
27/08/2017;94230674,25
28/08/2017;94249052,37
29/08/2017;94268078
30/08/2017;94286970,5
31/08/2017;94305678,62
01/09/2017;94324463,62
02/09/2017;94343266,75
03/09/2017;94361871,12
04/09/2017;94380741,75
05/09/2017;94399791,12
06/09/2017;94418625,5
07/09/2017;94437699,25
08/09/2017;94456914,87
09/09/2017;94475905,5
10/09/2017;94494848,62
11/09/2017;94513651,12
12/09/2017;94532912,37
13/09/2017;94551761,75
14/09/2017;94570999,87
15/09/2017;94590478
16/09/2017;94609764,25
17/09/2017;94628941,12
18/09/2017;94647956,75
19/09/2017;94667280,5
20/09/2017;94686412,37
21/09/2017;94705708
22/09/2017;94721422,37
23/09/2017;94736404,87
24/09/2017;94751836,12
25/09/2017;94766683
26/09/2017;94781859,87
27/09/2017;94797235,5
28/09/2017;94812204,87
29/09/2017;94827028,62
30/09/2017;94841930,5
01/10/2017;94857030,5
02/10/2017;94872084,87
03/10/2017;94887228,62
04/10/2017;94902511,75
05/10/2017;94917959,25
06/10/2017;94932951,75
07/10/2017;94947936,12
08/10/2017;94963103,62
09/10/2017;94978280,5
10/10/2017;94993728,62
11/10/2017;95009191,75
12/10/2017;95024547,37
13/10/2017;95039942,37
14/10/2017;95055228,62
15/10/2017;95070768
16/10/2017;95086891,12
17/10/2017;95106955,12
18/10/2017;95127265,5
19/10/2017;95147619,75
20/10/2017;95168026,12
21/10/2017;95188110,75
22/10/2017;95208430,87
23/10/2017;95228834,62
24/10/2017;95249291,62
25/10/2017;95269441,12
26/10/2017;95289567,37
27/10/2017;95309969,62
28/10/2017;95330343
29/10/2017;95350565,25
30/10/2017;95370588,37
31/10/2017;95391150
01/11/2017;95411308,12
02/11/2017;95431530,37
03/11/2017;95451772,87
04/11/2017;95471896,87
05/11/2017;95492419,12
06/11/2017;95512594,12
07/11/2017;95532936,37
